地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2017/06/25,07:02:15.3,長野県南部,35°52.0′N,137°35.1′E,7 km,5.6,震度５強
2017/06/20,23:27:41.4,豊後水道,32°52.0′N,132°01.8′E,42 km,5.0,震度５強
2017/06/09,23:36:23.7,橘湾,32°43.0′N,130°01.6′E,16 km,4.3,震度４
2017/05/11,20:21:25.1,有明海,32°44.0′N,130°36.2′E,13 km,4.4,震度４
2017/05/04,14:22:25.3,熊本県熊本地方,32°40.9′N,130°45.3′E,11 km,4.1,震度４
2017/04/30,23:42:35.9,十勝地方南部,42°19.3′N,143°04.2′E,53 km,5.4,震度４
2017/04/20,04:46:07.6,茨城県北部,36°41.7′N,140°35.4′E,9 km,4.2,震度４
2017/04/20,02:13:41.7,茨城県北部,36°42.1′N,140°38.5′E,6 km,4.5,震度４
2017/03/12,04:57:47.6,福島県沖,37°30.7′N,141°32.5′E,46 km,5.4,震度４
2017/03/02,23:53:42.6,日向灘,32°38.7′N,132°07.9′E,37 km,5.3,震度４
2017/02/28,16:49:02.0,福島県沖,37°30.8′N,141°22.0′E,52 km,5.7,震度５弱
2017/02/27,00:03:33.2,福島県沖,37°04.0′N,141°10.8′E,50 km,4.9,震度４
2017/02/19,18:19:29.8,千葉県北東部,35°43.8′N,140°39.8′E,52 km,5.4,震度４
2017/01/18,17:19:25.8,茨城県沖,36°25.7′N,140°38.5′E,53 km,4.2,震度４
2017/01/11,19:11:15.4,熊本県熊本地方,32°54.1′N,130°51.4′E,9 km,3.4,震度４
2017/01/05,02:53:20.5,福島県沖,37°07.3′N,141°21.5′E,26 km,5.6,震度４
2017/01/05,00:43:59.1,福島県沖,36°51.7′N,140°58.7′E,56 km,5.3,震度４
2016/12/31,05:08:27.6,福島県沖,37°21.3′N,141°24.5′E,27 km,5.4,震度４
2016/12/28,21:53:11.9,茨城県北部,36°42.6′N,140°38.1′E,6 km,4.7,震度４
2016/12/28,21:38:49.0,茨城県北部,36°43.2′N,140°34.4′E,11 km,6.3,震度６弱
2016/12/24,08:17:39.5,トカラ列島近海,29°14.0′N,129°07.9′E,12 km,3.0,震度４
2016/12/24,08:16:11.2,トカラ列島近海,29°12.0′N,129°16.4′E,14 km,3.5,震度４
2016/11/25,17:22:49.3,留萌地方中北部,44°50.1′N,141°50.8′E,27 km,4.6,震度４
2016/11/24,06:23:36.3,福島県沖,37°10.4′N,141°20.7′E,24 km,6.2,震度４
2016/11/22,23:03:57.8,福島県沖,37°10.7′N,141°26.6′E,28 km,5.7,震度４
2016/11/22,05:59:46.8,福島県沖,37°21.2′N,141°36.2′E,25 km,7.4,震度５弱
2016/11/19,11:48:01.4,和歌山県南部,33°50.5′N,135°27.8′E,51 km,5.4,震度４
2016/11/12,06:43:00.7,宮城県沖,38°27.8′N,141°36.4′E,58 km,5.9,震度４
2016/11/11,10:12:49.2,熊本県熊本地方,32°44.1′N,130°39.9′E,12 km,4.2,震度４
2016/10/29,13:43:37.7,鳥取県中部,35°23.2′N,133°53.5′E,7 km,4.5,震度４
2016/10/22,03:33:46.4,大分県南部,32°47.1′N,131°56.1′E,55 km,4.4,震度４
2016/10/21,17:59:47.8,鳥取県中部,35°25.8′N,133°49.9′E,9 km,4.3,震度４
2016/10/21,16:52:46.4,鳥取県中部,35°24.6′N,133°50.6′E,6 km,4.1,震度４
2016/10/21,14:53:17.5,鳥取県中部,35°21.6′N,133°52.0′E,9 km,5.0,震度４
2016/10/21,14:46:23.2,鳥取県中部,35°26.5′N,133°49.9′E,9 km,3.8,震度４
2016/10/21,14:33:58.3,鳥取県中部,35°24.7′N,133°50.2′E,5 km,4.4,震度４
2016/10/21,14:30:05.9,鳥取県中部,35°25.1′N,133°50.1′E,10 km,4.4,震度４
2016/10/21,14:08:31.3,鳥取県中部,35°24.6′N,133°50.2′E,7 km,3.7,震度４
2016/10/21,14:07:22.5,鳥取県中部,35°22.8′N,133°51.3′E,11 km,6.6,震度６弱
2016/10/21,12:12:23.0,鳥取県中部,35°22.8′N,133°51.2′E,10 km,4.2,震度４
2016/10/20,11:49:53.6,千葉県北東部,35°51.7′N,140°31.4′E,37 km,5.3,震度４
2016/10/16,16:37:04.8,宮城県中部,38°19.4′N,141°31.6′E,20 km,5.2,震度４
2016/09/26,14:19:57.5,沖縄本島近海,27°25.7′N,128°37.2′E,44 km,5.6,震度５弱
2016/09/26,14:13:24.6,浦河沖,41°39.1′N,142°59.6′E,29 km,5.4,震度４
2016/09/07,13:28:50.0,茨城県南部,36°10.0′N,140°02.1′E,50 km,4.9,震度４
2016/09/07,01:56:01.1,熊本県熊本地方,32°44.2′N,130°37.8′E,13 km,3.9,震度４
2016/09/01,06:33:49.5,熊本県熊本地方,32°43.6′N,130°37.0′E,12 km,4.8,震度４
2016/08/31,19:46:02.7,熊本県熊本地方,32°43.3′N,130°37.0′E,13 km,5.2,震度５弱
2016/08/19,21:07:41.9,茨城県沖,36°33.6′N,141°07.9′E,48 km,5.4,震度４
2016/08/19,11:05:17.1,熊本県阿蘇地方,33°01.0′N,131°05.8′E,9 km,4.4,震度４
2016/08/15,16:04:40.2,福島県沖,37°22.7′N,141°44.9′E,47 km,5.6,震度４
2016/08/09,22:48:59.3,熊本県熊本地方,32°43.7′N,130°48.2′E,5 km,3.8,震度４
2016/07/27,23:47:17.0,茨城県北部,36°27.0′N,140°36.8′E,57 km,5.4,震度５弱
2016/07/24,11:51:21.3,十勝地方中部,42°52.4′N,143°10.4′E,96 km,4.9,震度４
2016/07/20,07:25:33.0,茨城県南部,36°01.2′N,139°56.9′E,42 km,5.0,震度４
